apoyo_id,anio,programa_id,municipio_id,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total,fuente_archivo,fuente_hoja,cargado_en,programa_nombre,categoria,municipio_nombre,region_nombre
158,2023,45,3,44,0.00,1806218.00,0.00,1625073.50,3431291.50,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2023Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,CADEREYTA DE MONTES,CADEREYTA
138,2023,42,3,223,0.00,1900000.00,1900000.00,2792604.00,6592604.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Municipalizado23Estatal,2026-07-30 20:05:33.097295+00,MUNICIPALIZADO,,CADEREYTA DE MONTES,CADEREYTA
177,2024,45,3,83,0.00,3482401.00,0.00,3380820.67,6863221.67,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2024Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,CADEREYTA DE MONTES,CADEREYTA
18,2025,38,3,1,0.00,7023.00,0.00,0.00,7023.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Apícolas Azúcar,2026-07-30 20:05:33.097295+00,APÍCOLAS,,CADEREYTA DE MONTES,CADEREYTA
27,2025,39,3,108,0.00,540000.00,0.00,0.00,540000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,"Avena, Garbanzo 2025",2026-07-30 20:05:33.097295+00,AVENA Y GARBANZO,,CADEREYTA DE MONTES,CADEREYTA
95,2025,43,3,10,0.00,648464.00,0.00,333799.07,982263.07,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Bordería2025Estatal,2026-07-30 20:05:33.097295+00,BORDERÍA,,CADEREYTA DE MONTES,CADEREYTA
114,2025,45,3,92,0.00,3371458.00,0.00,4219196.11,7590654.11,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Dinamismo2025Estatal,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,,CADEREYTA DE MONTES,CADEREYTA
62,2025,41,3,1003,0.00,2597043.00,0.00,0.00,2597043.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Maíz Blanco2025Estatal,2026-07-30 20:05:33.097295+00,MAÍZ BLANCO,,CADEREYTA DE MONTES,CADEREYTA
44,2025,40,3,147,0.00,606984.00,0.00,0.00,606984.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Pacas&Suplementos2025,2026-07-30 20:05:33.097295+00,PACAS Y SUPLEMENTOS,,CADEREYTA DE MONTES,CADEREYTA
104,2025,44,3,1,0.00,110000.00,0.00,202639.00,312639.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,Tecnificación2025Estatal,2026-07-30 20:05:33.097295+00,TECNIFICACIÓN,,CADEREYTA DE MONTES,CADEREYTA
