apoyo_id,metrica,valor
1,Kgs.,5200.000
2,Kgs.,1820.000
3,Kgs.,260.000
4,Kgs.,5350.000
5,Kgs.,5300.000
6,Kgs.,4050.000
7,Kgs.,3700.000
8,Kgs.,2800.000
9,Kgs.,2750.000
10,Kgs.,1750.000
11,Kgs.,1300.000
12,Kgs.,1100.000
13,Kgs.,1100.000
14,Kgs.,850.000
15,Kgs.,800.000
16,Kgs.,750.000
17,Kgs.,500.000
18,Kgs.,300.000
19,Kgs.,300.000
20,INVERSIÓN AVENA,2835000.000
20,TON. AVENA,105.000
21,INVERSIÓN AVENA,1390500.000
21,TON. AVENA,51.500
22,INVERSIÓN AVENA,974700.000
22,INVERSIÓN GARBANZO,59125.000
22,TON. AVENA,36.100
22,TON. GARBANZO,1.075
23,INVERSIÓN AVENA,527850.000
23,INVERSIÓN GARBANZO,457875.000
23,TON. AVENA,19.550
23,TON. GARBANZO,8.325
24,INVERSIÓN AVENA,792450.000
24,TON. AVENA,29.350
25,INVERSIÓN AVENA,680400.000
25,TON. AVENA,25.200
26,INVERSIÓN AVENA,167400.000
26,INVERSIÓN GARBANZO,510125.000
26,TON. AVENA,6.200
26,TON. GARBANZO,9.275
27,INVERSIÓN AVENA,540000.000
27,TON. AVENA,20.000
28,INVERSIÓN AVENA,86400.000
28,INVERSIÓN GARBANZO,451000.000
28,TON. AVENA,3.200
28,TON. GARBANZO,8.200
29,INVERSIÓN AVENA,484650.000
29,TON. AVENA,17.950
30,INVERSIÓN AVENA,441450.000
30,TON. AVENA,16.350
30,TON. GARBANZO,0.000
31,INVERSIÓN AVENA,135000.000
31,INVERSIÓN GARBANZO,302500.000
31,TON. AVENA,5.000
31,TON. GARBANZO,5.500
32,INVERSIÓN AVENA,0.000
32,INVERSIÓN GARBANZO,420750.000
32,TON. AVENA,0.000
32,TON. GARBANZO,7.650
33,INVERSIÓN AVENA,378675.000
33,TON. AVENA,14.025
34,INVERSIÓN AVENA,64800.000
34,INVERSIÓN GARBANZO,167750.000
34,TON. AVENA,2.400
34,TON. GARBANZO,3.050
35,INVERSIÓN AVENA,147150.000
35,TON. AVENA,5.450
36,INVERSIÓN AVENA,90450.000
36,TON. AVENA,3.350
37,INVERSIÓN AVENA,82350.000
37,TON. AVENA,3.050
38,TON. ALIMENTOS CONCENTRADOS,118.300
38,TON. PACAS,10.200
39,TON. ALIMENTOS CONCENTRADOS,102.200
39,TON. PACAS,2.800
40,TON. ALIMENTOS CONCENTRADOS,30.500
40,TON. PACAS,130.900
41,TON. PACAS,207.700
42,TON. PACAS,169.900
43,TON. ALIMENTOS CONCENTRADOS,54.300
43,TON. PACAS,0.900
44,TON. PACAS,126.500
45,TON. PACAS,122.500
46,TON. PACAS,107.400
47,TON. PACAS,106.400
48,TON. PACAS,62.700
49,TON. ALIMENTOS CONCENTRADOS,18.600
50,TON. PACAS,41.600
51,TON. ALIMENTOS CONCENTRADOS,11.900
51,TON. PACAS,1.200
52,TON. PACAS,22.900
53,TON. PACAS,21.000
54,TON. PACAS,3.900
55,TON. PACAS,0.600
56,HECTÁREAS BENEFICIADAS,6296.630
56,TONELADAS,997.800
57,HECTÁREAS BENEFICIADAS,4684.790
57,TONELADAS,652.350
58,HECTÁREAS BENEFICIADAS,3628.480
58,TONELADAS,527.400
59,HECTÁREAS BENEFICIADAS,3459.630
59,TONELADAS,462.550
60,HECTÁREAS BENEFICIADAS,2950.020
60,TONELADAS,424.200
61,HECTÁREAS BENEFICIADAS,2192.650
61,TONELADAS,311.550
62,HECTÁREAS BENEFICIADAS,2245.410
62,TONELADAS,304.050
63,HECTÁREAS BENEFICIADAS,2250.800
63,TONELADAS,300.750
64,HECTÁREAS BENEFICIADAS,1769.330
64,TONELADAS,255.600
65,HECTÁREAS BENEFICIADAS,1390.990
65,TONELADAS,199.650
66,HECTÁREAS BENEFICIADAS,1303.610
66,TONELADAS,187.200
67,HECTÁREAS BENEFICIADAS,1279.670
67,TONELADAS,180.750
68,HECTÁREAS BENEFICIADAS,1238.500
68,TONELADAS,174.000
69,HECTÁREAS BENEFICIADAS,1168.960
69,TONELADAS,166.500
70,HECTÁREAS BENEFICIADAS,737.040
70,TONELADAS,131.850
71,HECTÁREAS BENEFICIADAS,837.270
71,TONELADAS,123.150
72,HECTÁREAS BENEFICIADAS,363.420
72,TONELADAS,53.850
73,HECTÁREAS BENEFICIADAS,221.110
73,TONELADAS,46.800
