resumen_id,anio,programa_id,beneficiarios,beneficiarios_indir,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total,fuente_archivo,cargado_en,programa_nombre,categoria
1,2021,46,1,3178,3178,0.00,15000000.00,0.00,0.00,15000000.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,EMERGENTE PECUARIO,
2,2021,47,1,406,406,5843485.00,7949132.00,0.00,2757634.00,16550251.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"EMERGENTE REACTIVACIÓN ECONÓMICA MÓDULOS D.R. 023, S.J.R.",
18,2022,62,123,231,123,0.00,957511.00,0.00,0.00,957511.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,APOYO ECONÓMICO PARA LIQUIDÉZ,
13,2022,57,38,1131,38,0.00,3594040.00,0.00,0.00,3594040.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,ASISTENCIA TÉCNICA,
19,2022,63,28,,28,0.00,681212.00,0.00,0.00,681212.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,BRIGADAS COMUNITARIAS SANIDAD FORESTAL,
17,2022,61,15,620,15,0.00,1231585.00,0.00,0.00,1231585.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,D.C. SEGURIDAD ALIMENTARIA,
5,2022,45,617,,647,0.00,27605878.00,0.00,36956110.05,64561988.05,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,DINAMISMO AGROALIMENTARIO,
12,2022,56,3,85,3,6357394.00,3600000.00,0.00,2688339.49,12645733.49,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,EMERGENTE CAPITALIZACIÓN A USUARIOS HIDROAGRÍCOLAS,
4,2022,49,11,14781,11,0.00,29253960.00,0.00,649283.68,29903243.68,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,"FERIAS, EVENTOS Y APOYO A COTAS",
16,2022,60,195,,195,0.00,1999998.00,0.00,0.00,1999998.00,C:\Users\vparsar\Desktop\ENTREGA CHUCHO\ENTREGA CHUCHO\00000 PROYECTOS\Tarjetas Municipales Srio\Eventos  _ESTATAL_\2025 1112 ESTATAL_u2_ actualizar.xlsx,2026-07-30 20:05:33.097295+00,HUERTOS SUSTENTABLES,
