anio,municipio,programa,numero_apoyos,apoyo_estatal,apoyo_municipal,aportacion_productor,total
2023,AMEALCO DE BONFIL,DINAMISMO AGROALIMENTARIO,228,7145343.00,0.00,11409405.27,18554748.27
2023,AMEALCO DE BONFIL,MUNICIPALIZADO,214,1000000.00,1000000.00,1046929.00,3046929.00
2023,ARROYO SECO,DINAMISMO AGROALIMENTARIO,15,513998.00,0.00,746350.78,1260348.78
2023,ARROYO SECO,MUNICIPALIZADO,113,1000000.00,1000000.00,1058242.00,3058242.00
2023,CADEREYTA DE MONTES,DINAMISMO AGROALIMENTARIO,44,1806218.00,0.00,1625073.50,3431291.50
2023,CADEREYTA DE MONTES,MUNICIPALIZADO,223,1900000.00,1900000.00,2792604.00,6592604.00
2023,COLÓN,DINAMISMO AGROALIMENTARIO,18,851784.00,0.00,1526275.86,2378059.86
2023,COLÓN,MUNICIPALIZADO,211,6000000.00,6000000.00,13162557.00,25162557.00
2023,CORREGIDORA,DINAMISMO AGROALIMENTARIO,9,625630.00,0.00,1115470.00,1741100.00
2023,CORREGIDORA,MUNICIPALIZADO,534,1975108.00,1975108.00,2287301.00,6237517.00
2023,EL MARQUÉS,DINAMISMO AGROALIMENTARIO,31,1444050.00,0.00,2789614.69,4233664.69
2023,EL MARQUÉS,MUNICIPALIZADO,51,2000000.00,2000000.00,5110851.00,9110851.00
2023,EZEQUIEL MONTES,DINAMISMO AGROALIMENTARIO,23,1431626.00,0.00,2030826.40,3462452.40
2023,EZEQUIEL MONTES,MUNICIPALIZADO,142,1000000.00,1000000.00,1042274.00,3042274.00
2023,HUIMILPAN,DINAMISMO AGROALIMENTARIO,28,1310717.00,0.00,3678092.51,4988809.51
2023,HUIMILPAN,MUNICIPALIZADO,149,1828956.00,1828956.00,2689999.00,6347911.00
2023,JALPAN DE SERRA,DINAMISMO AGROALIMENTARIO,25,629061.00,0.00,1327978.21,1957039.21
2023,JALPAN DE SERRA,MUNICIPALIZADO,226,1997806.00,1997806.00,2358202.00,6353814.00
2023,LANDA DE MATAMOROS,DINAMISMO AGROALIMENTARIO,26,741577.00,0.00,768767.04,1510344.04
2023,LANDA DE MATAMOROS,MUNICIPALIZADO,260,2000000.00,2000000.00,2060607.00,6060607.00
2023,PEDRO ESCOBEDO,DINAMISMO AGROALIMENTARIO,36,2158569.00,0.00,3035275.91,5193844.91
2023,PEDRO ESCOBEDO,MUNICIPALIZADO,117,3000000.00,3000000.00,5072759.00,11072759.00
2023,PEÑAMILLER,DINAMISMO AGROALIMENTARIO,3,75000.00,0.00,51000.00,126000.00
2023,PEÑAMILLER,MUNICIPALIZADO,254,1300000.00,1300000.00,1354760.00,3954760.00
2023,PINAL DE AMOLES,DINAMISMO AGROALIMENTARIO,38,1109620.00,0.00,814580.00,1924200.00
2023,PINAL DE AMOLES,MUNICIPALIZADO,344,1500000.00,1500000.00,1546059.00,4546059.00
2023,QUERÉTARO,DINAMISMO AGROALIMENTARIO,23,773615.00,0.00,1335875.74,2109490.74
2023,QUERÉTARO,MUNICIPALIZADO,1175,2517000.00,2517000.00,2718636.00,7752636.00
2023,SAN JOAQUÍN,DINAMISMO AGROALIMENTARIO,2,68000.00,0.00,74120.00,142120.00
2023,SAN JOAQUÍN,MUNICIPALIZADO,341,3000000.00,3000000.00,3138303.00,9138303.00
2023,SAN JUAN DEL RÍO,DINAMISMO AGROALIMENTARIO,61,1772421.00,0.00,2867518.00,4639939.00
2023,SAN JUAN DEL RÍO,MUNICIPALIZADO,302,5965061.00,5965061.00,8970038.00,20900160.00
2023,TEQUISQUIAPAN,DINAMISMO AGROALIMENTARIO,15,657171.00,0.00,581121.02,1238292.02
2023,TEQUISQUIAPAN,MUNICIPALIZADO,31,600000.00,600000.00,1263904.00,2463904.00
2023,TOLIMÁN,DINAMISMO AGROALIMENTARIO,12,300700.00,0.00,272462.50,573162.50
2023,TOLIMÁN,MUNICIPALIZADO,75,461720.00,461720.00,485738.00,1409178.00
2024,AMEALCO DE BONFIL,DINAMISMO AGROALIMENTARIO,614,17017390.00,0.00,28817166.56,45834556.56
2024,AMEALCO DE BONFIL,MUNICIPALIZADO,103,1000000.00,1000000.00,1263044.73,3263044.73
2024,ARROYO SECO,DINAMISMO AGROALIMENTARIO,53,1656630.00,0.00,1626881.63,3283511.63
2024,CADEREYTA DE MONTES,DINAMISMO AGROALIMENTARIO,83,3482401.00,0.00,3380820.67,6863221.67
2024,COLÓN,DINAMISMO AGROALIMENTARIO,43,2133693.00,0.00,4722381.01,6856074.01
2024,COLÓN,MUNICIPALIZADO,96,1500000.00,1500000.00,4220640.02,7220640.02
2024,CORREGIDORA,DINAMISMO AGROALIMENTARIO,74,1927160.00,0.00,3331544.80,5258704.80
2024,EL MARQUÉS,DINAMISMO AGROALIMENTARIO,60,1888487.00,0.00,1942597.33,3831084.33
2024,EZEQUIEL MONTES,DINAMISMO AGROALIMENTARIO,37,2218519.00,0.00,5403935.27,7622454.27
2024,HUIMILPAN,DINAMISMO AGROALIMENTARIO,73,2207253.00,0.00,2981407.58,5188660.58
2024,HUIMILPAN,MUNICIPALIZADO,87,1000000.00,1000000.00,1906686.86,3906686.86
2024,JALPAN DE SERRA,DINAMISMO AGROALIMENTARIO,79,2284920.00,0.00,2597109.01,4882029.01
2024,JALPAN DE SERRA,MUNICIPALIZADO,245,1500000.00,1500000.00,1545455.00,4545455.00
2024,LANDA DE MATAMOROS,DINAMISMO AGROALIMENTARIO,60,1835012.00,0.00,1754313.03,3589325.03
2024,LANDA DE MATAMOROS,MUNICIPALIZADO,73,1000000.00,1000000.00,1622221.00,3622221.00
