anio,programa,beneficiarios,numero_apoyos,apoyo_federal,apoyo_estatal,apoyo_municipal,aportacion_productor,total
2021,EMERGENTE PECUARIO,1,3178,0.00,15000000.00,0.00,0.00,15000000.00
2021,"EMERGENTE REACTIVACIÓN ECONÓMICA MÓDULOS D.R. 023, S.J.R.",1,406,5843485.00,7949132.00,0.00,2757634.00,16550251.00
2022,APOYO ECONÓMICO PARA LIQUIDÉZ,123,123,0.00,957511.00,0.00,0.00,957511.00
2022,ASISTENCIA TÉCNICA,38,38,0.00,3594040.00,0.00,0.00,3594040.00
2022,BRIGADAS COMUNITARIAS SANIDAD FORESTAL,28,28,0.00,681212.00,0.00,0.00,681212.00
2022,D.C. SEGURIDAD ALIMENTARIA,15,15,0.00,1231585.00,0.00,0.00,1231585.00
2022,DINAMISMO AGROALIMENTARIO,617,647,0.00,27605878.00,0.00,36956110.05,64561988.05
2022,EMERGENTE CAPITALIZACIÓN A USUARIOS HIDROAGRÍCOLAS,3,3,6357394.00,3600000.00,0.00,2688339.49,12645733.49
2022,"FERIAS, EVENTOS Y APOYO A COTAS",11,11,0.00,29253960.00,0.00,649283.68,29903243.68
2022,HUERTOS SUSTENTABLES,195,195,0.00,1999998.00,0.00,0.00,1999998.00
2022,IMPULSO A LA PRODUCTIVIDAD FERTILIZANTE,1339,1339,0.00,10315900.00,0.00,0.00,10315900.00
2022,IMPULSO AL SECTOR VITIVINÍCOLA,19,19,0.00,2107658.00,0.00,5088702.04,7196360.04
2022,MANEJO SUSTENTABLE DE AGOSTADEROS,130,130,0.00,5253897.00,0.00,3983016.07,9236913.07
2022,MEJORAMIENTO GENÉTICO GANADERÍA SUSTENTABLE,8,8,0.00,40000.00,0.00,964.00,40964.00
2022,PERFORACIÓN DE POZOS (GASTO CORRIENTE),3,3,0.00,11405132.00,0.00,5229426.00,16634558.00
2022,PROGRAMA DE BORDERÍA,75,75,0.00,9800000.00,0.00,6817939.85,16617939.85
2022,PROGRAMA MUNICIPALIZADO,4654,4654,0.00,29509533.00,29509533.00,41159972.00,100179038.00
2022,REFORESTACIÓN Y RESTAURACIÓN INTEGRAL,23,23,0.00,1000000.00,0.00,0.00,1000000.00
2022,"SANIDAD E INOCUIDAD AGROALIMENTARIA 
(ACUÍCOLA, VEGETAL Y PECUARIO)",3,3,24935036.00,14987524.00,0.00,0.00,39922560.00
2022,SEGURO AGRÍCOLA CATASTRÓFICO,13281,13281,0.00,32459600.00,0.00,0.00,32459600.00
2022,SEGURO PECUARIO CATASTRÓFICO,146,146,0.00,1175292.66,0.00,0.00,1175292.66
2022,SEGURO PORCÍCOLA,1,1,0.00,3000000.00,0.00,3000000.00,6000000.00
2022,TECNIFICACIÓN DE RIEGO,149,149,0.00,26536012.00,0.00,29634245.00,56170257.00
2023,ASISTENCIA TÉCNICA,742,742,0.00,2660050.00,0.00,0.00,2660050.00
2023,BRIGADAS COMUNITARIAS SANIDAD FORESTAL,5,5,0.00,436420.00,0.00,0.00,436420.00
2023,DINAMISMO AGROALIMENTARIO,637,637,0.00,23415100.00,0.00,36049807.43,59464907.43
2023,"FERIAS, EVENTOS Y APOYO A COTAS",11,11,0.00,30486892.00,0.00,0.00,30486892.00
2023,MAÍZ CONSUMO HUMANO,14057,14057,0.00,84801528.00,0.00,0.00,84801528.00
2023,"PACAS FORRAJERAS CONCENTRADOS, CISTERNAS Y VIAJES DE AGUA",5631,5631,0.00,19244000.00,0.00,0.00,19244000.00
2023,PERFORACIÓN DE POZOS (GASTO CORRIENTE),9,9,0.00,858000.00,0.00,1861024.36,2719024.36
2023,PROGRAMA DE BORDERÍA,80,80,0.00,6187717.00,0.00,4255161.16,10442878.16
2023,PROGRAMA MUNICIPALIZADO,4762,4762,0.00,39045650.00,39045650.00,58159763.00,136251063.00
2023,REFORESTACIÓN Y RESTAURACIÓN INTEGRAL,12,12,0.00,500000.00,0.00,0.00,500000.00
2023,"SANIDAD E INOCUIDAD AGROALIMENTARIA 
(ACUÍCOLA, VEGETAL Y PECUARIO)",3,3,26499860.00,10300000.00,0.00,0.00,36799860.00
2023,"SEMILLA DE AVENA, GARBANZO Y MAÍZ",2909,2909,0.00,10000000.00,0.00,0.00,10000000.00
