anio,regional,componente,solicitudes,apoyos,estatal_dictaminado,total_dictaminado
2026,REGIONAL CADEREYTA,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,13,13,350000.00,500000.00
2026,REGIONAL CADEREYTA,DINAMISMO AGROALIMENTARIO,284,285,9970476.00,23705484.27
2026,REGIONAL CADEREYTA,TECNIFICACIÓN DEL RIEGO,20,22,2593073.00,4059386.00
2026,REGIONAL JALPAN,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,19,19,5270044.00,7979477.00
2026,REGIONAL JALPAN,DINAMISMO AGROALIMENTARIO,294,297,7814666.00,16989646.90
2026,REGIONAL JALPAN,TECNIFICACIÓN DEL RIEGO,4,4,449693.00,856732.01
2026,REGIONAL QUERÉTARO,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,11,12,852943.00,1257705.00
2026,REGIONAL QUERÉTARO,DINAMISMO AGROALIMENTARIO,270,279,10184040.00,25760548.22
2026,REGIONAL QUERÉTARO,TECNIFICACIÓN DEL RIEGO,5,5,176275.00,293793.00
2026,REGIONAL SAN JUAN DEL RÍO,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,37,64,5866868.00,8493253.21
2026,REGIONAL SAN JUAN DEL RÍO,DINAMISMO AGROALIMENTARIO,1226,1283,31399980.70,85643743.03
2026,REGIONAL SAN JUAN DEL RÍO,TECNIFICACIÓN DEL RIEGO,41,41,3204671.00,14194769.07
2026,,DINAMISMO AGROALIMENTARIO,1,1,,
