municipio_id,nombre,region_id
1,AMEALCO DE BONFIL,10
11,PEDRO ESCOBEDO,10
16,SAN JUAN DEL RÍO,10
17,TEQUISQUIAPAN,10
3,CADEREYTA DE MONTES,11
4,COLÓN,11
7,EZEQUIEL MONTES,11
12,PEÑAMILLER,11
15,SAN JOAQUÍN,11
18,TOLIMÁN,11
2,ARROYO SECO,12
9,JALPAN DE SERRA,12
10,LANDA DE MATAMOROS,12
13,PINAL DE AMOLES,12
5,CORREGIDORA,13
6,EL MARQUÉS,13
8,HUIMILPAN,13
14,QUERÉTARO,13
21,TODO EL ESTADO,
22,ALCANCE ESTATAL,
23,JALPAN REGIÓN,
24,SAN JUAN DEL RÍO (REGIÓN),
25,QUERÉTARO (REGIÓN),
26,CADEREYTA REGIÓN,
