programa_id,nombre,categoria
37,ACUÍCOLAS,
38,APÍCOLAS,
39,AVENA Y GARBANZO,
40,PACAS Y SUPLEMENTOS,
41,MAÍZ BLANCO,
42,MUNICIPALIZADO,
43,BORDERÍA,
44,TECNIFICACIÓN,
45,DINAMISMO AGROALIMENTARIO,
46,EMERGENTE PECUARIO,
47,"EMERGENTE REACTIVACIÓN ECONÓMICA MÓDULOS D.R. 023, S.J.R.",
48,PROGRAMA MUNICIPALIZADO,
49,"FERIAS, EVENTOS Y APOYO A COTAS",
50,TECNIFICACIÓN DE RIEGO,
51,"SANIDAD E INOCUIDAD AGROALIMENTARIA 
(ACUÍCOLA, VEGETAL Y PECUARIO)",
52,PERFORACIÓN DE POZOS (GASTO CORRIENTE),
53,IMPULSO A LA PRODUCTIVIDAD FERTILIZANTE,
54,PROGRAMA DE BORDERÍA,
55,MANEJO SUSTENTABLE DE AGOSTADEROS,
56,EMERGENTE CAPITALIZACIÓN A USUARIOS HIDROAGRÍCOLAS,
57,ASISTENCIA TÉCNICA,
58,SEGURO PORCÍCOLA,
59,IMPULSO AL SECTOR VITIVINÍCOLA,
60,HUERTOS SUSTENTABLES,
61,D.C. SEGURIDAD ALIMENTARIA,
62,APOYO ECONÓMICO PARA LIQUIDÉZ,
63,BRIGADAS COMUNITARIAS SANIDAD FORESTAL,
64,REFORESTACIÓN Y RESTAURACIÓN INTEGRAL,
65,SEGURO AGRÍCOLA CATASTRÓFICO,
66,SEGURO PECUARIO CATASTRÓFICO,
67,MEJORAMIENTO GENÉTICO GANADERÍA SUSTENTABLE,
68,MAÍZ CONSUMO HUMANO,
69,"PACAS FORRAJERAS CONCENTRADOS, CISTERNAS Y VIAJES DE AGUA",
70,SUPLEMENTO ALIMENCITIO APÍCOLA,
71,"SEMILLA DE AVENA, GARBANZO Y MAÍZ",
72,SUPLEMENTO ALIMENCITIO ACUÍCOLA,
73,REMOLQUES PIPA PARA DISTRIBUCIÓN DE AGUA (6),
86,ACTIVOS,
87,INVERSIÓN DIRECTA G.E.Q.,
88,MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,
89,PROGRAMA DE APOYO A LA INFRAESTRUCTURA HIDROAGRÍCOLA (CONVENIO CON CONAGUA),
90,PROGRAMA DE CONCURRENCIA CON LAS ENTIDADES FEDERATIVAS,
91,USO SUSTENTABLE DE RECURSOS NATURALES PARA LA PRODUCCIÓN PRIMARIA (SAGARPA),
92,FOMENTO A LA PRODUCCIÓN Y PRODUCTIVIDAD (GEQ),
93,SUSTENTABILIDAD DE LOS RECURSOS NATURALES (SAGARPA),
94,PROGRAMA DE APOYO A LA INVERSIÓN EN EQUIPAMIENTO E INFRAESTRUCTURA,
95,PROGRAMA INTEGRAL DE DESARROLLO RURAL (SAGARPA),
96,"FOMENTO AL DESARROLLO AGROPECUARIO, FORESTAL Y PESCA 2017-2021 (ESTATAL)",
97,PROGRAMA DE ATENCIÓN A CONTINGENCIAS CLIMATOLÓGICAS,
98,PROGRAMA DE FOMENTO A LA AGRICULTURA (CONVENIO CON SAGARPA),
99,PROGRAMA DE PRODUCTIVIDAD RURAL (SAGARPA),
100,PROGRAMA DE APOYOS A PEQUEÑOS PRODUCTORES (SAGARPA),
101,"PROGRAMA DE FOMENTO A LA AGRICULTURA - 
FOMENTO AL DESARROLLO AGROPECUARIO, FORESTAL Y PESCA 2017-2021",
102,PROGRAMA DE APOYOS A PEQUEÑOS PRODUCTORES (SADER),
103,"PROGRAMA DE FOMENTO AL DESARROLLO AGROPECUARIO, FORESTAL Y PESCA 2017-2021",
104,SIN CLASIFICAR,
105,MAÍZ PARA CONSUMO HUMANO,
106,FERTILIZANTE QUÍM. UREA,
107,AVENA,
108,SEMILLA PARA CULTIVOS FORRAJEROS,
109,FERTILIZANTE,
110,SEMILLA DE AVENA,
111,CULTIVADORA,
112,MOLINO DE NIXTAMAL,
113,REMOLQUE,
114,APOYO PARA SANIDAD FORESTAL,
115,PACAS FORRAJERAS,
116,SEMBRADORA,
117,RASTRA,
118,SEGADORA IMPLEMENTOS FORRAJEROS,
119,FORRAJE,
120,EQUIPO PARA ALMACENAMIENTO DE AGUA,
121,REMOLQUE USO PRODUCTIVO PECUARIO,
122,FERTILIZANTES QUÍMICOS,
123,"TINACO DE AL MENOS 5,000 LTS P/HUERTO",
124,DESGRANADORA,
125,SEGADORA,
126,MOTOBOMBA,
127,SUPLEMENTO CUNICOLA,
128,BIODIGESTOR,
129,CARRETILLA,
130,DESBROZADORA,
131,EQUIPO PARA BOMBEO Y CONDUCCIÓN DE AGUA,
132,REMOLQUE USO AGRÍCOLA,
133,MATERIAL VEGETATIVO,
134,FERTILIZANTE FÓRMULAS ESPECÍFICAS,
135,FERTILIZANTE SULFATOS,
136,REHABILITACIÓN DE INVERNADERO,
137,SEGADORA ENGANCHE A TRACTOR,
138,ESTUFA ECOLÓGICA,
139,PAQUETE DE PRODUCCIÓN A PEQUEÑA ESCALA,
140,APOYO PARA SISTEMA DE RIEGO,
141,CERCO DE ALAMBRE DE PÚAS (USO PECUARIO),
142,JORNALES E INSUMOS,
143,APOYO PARA PAGO DE INTERESES,
144,RASTRILLO (IMPLEMENTOS PARA ENGANCHE A TRACTOR),
145,FERTILIZADORA ENGANCHE A TRACTOR,
146,PARIHUELA,
147,"CISTERNA 5,000 LTS",
148,ASISTENCIA TÉCNICA Y CAP. GANADERÍA EN AGOSTADERO,
149,MOCHILA ASPERSORA,
150,SUPLEMENTO MINERAL,
151,SEMILLA DE PASTO (USO PECUARIO),
152,LINEA DE CONDUCCIÓN,
153,PAQUETE TECNOLÓGICO DE INSUMOS PARA PEQUEÑAS UNIDADES DE PRODUCCIÓN AGROPECUARIA,
154,GEOMEMBRANA CON ESTRUCTURA,
155,PAQUETE PARA HUERTO,
156,CONSTRUCCIÓN DE MACROTÚNELES,
157,TRACTOR DE 40 A 125 CABALLOS DE FUERZA,
158,SEMENTAL,
159,CISTERNA DE AL MENOS 5000 (CINCO MIL) LITROS,
160,GEOMEMBRANA,
161,SUBSUELO,
162,"JORNALES, LOTE DE HERRAMIENTAS E INSUMOS",
163,BASCULA GANADERA,
164,DESAZOLVE DE BORDO,
165,ORDEÑADORA,
166,TINACO PARA USO AGROPECUARIO,
167,REMOLQUE USO PRODUCTIVO,
168,EMPACADORA,
169,MOLINO PARA FORRAJE,
170,APOYOS PARA REFORESTACIÓN,
171,ASPERSORA,
172,REHABILITACIÓN DE BORDO,
173,RASTRILLO,
174,RASTRILLO (IMPLEMENTOS FORRAJEROS),
175,SUPLEMENTO APÍCOLA,
176,SUPLEMENTO ALIMENTICIO PECUARIO,
177,SUPLEMENTO ALIMENTICIO APÍCOLA,
178,CONSTRUCCIÓN DE INFRAESTRUCTIRA Y EQUIPO P/ ALM. DE AGUA,
179,HIDROLAVADORA,
180,PRENSA PARA GANADO,
181,MEZCLADORA (USO PECUARIO),
182,TRACTOR AGRÍCOLA,
183,MOLINO PARA FORRAJE (IMPLEMENTOS FORRAJEROS),
184,ASPERSORA ENGANCHE A TRACTOR,
185,DESAZOLVE DE BORDO CON GEOMEMBRANA,
186,VIAJES DE AGUA USO PECUARIO,
187,MOLINO DE FORRAJE,
188,PAQUETE PEQUEÑA ESCALA,
189,EQUIPAMIENTO DE INVERNADERO,
190,"CISTERNA DE AL MENOS 5,000 (CINCO MIL) LITROS",
191,NIVELADORA,
192,LÍNEAS DE CONDUCCIÓN CON HIDRÁNTES,
193,PROYECTOS EJECUTIVOS,
194,DESMENUZADORA,
195,HUERTO FAMILIAR,
196,DRON AGRÍCOLA,
197,EQUIPAMIENTO Y REHAB. DE SISTEMAS ELECTROMECÁNICOS Y DE ESTRUCTURAS,
198,SRT: REHAB. DE SISTEMAS ELECTROMECÁNICOS Y DE ESTRUCTURAS,
199,SEMBRADORA DE PRECISIÓN,
200,ENSILADORA,
201,"JORNALES, INSUMOS, ASISTENCIA TÉCNICA",
202,CUCHILLA NIVELADORA,
203,CONSTRUCCIÓN DE INVERNADERO,
204,CONSTRUCCIÓN DE OLLA PARA ALMACENAMIENTO DE AGUA,
205,CONSTRUCCIÓN DE OLLA DE AGUA,
206,TRACTOR LIGERO CON IMPLEMENTOS,
207,CONTRUCCIÓN DE BORDO PARCELARIO,
208,PLUMA DE LEVANTE,
209,CARGADOR FRONTAL,
210,MOLINO DE MARTILLOS,
211,FERTILIZADORA,
212,FERTILIZANTE QUÍM. FOSFATO DIAMÓNICO (DAP),
213,MOCHILA ASPERSORA Y MOTOBOMBA,
214,DESAZOLVE DE PRESA,
215,DESVARADORA,
216,AVES PARA POSTURA,
217,JAULA USO PECUARIO,
218,CERCO DE ALAMBRE DE PÚAS,
219,PALA FRONTAL ENGANCHE A TRACTOR,
220,REHABILITACIÓN OLLA DE AGUA CON GEOMEMBRANA,
221,CERCO PROTECCIÓN PARCELA (MALLA),
222,CAPACITACIÓN PARA SEGURIDAD ALIMENTARIA,
223,SRT: EQUIPAMIENTO Y REHAB. DE SISTEMAS ELECTROMECÁNICOS Y DE ESTRUCTURAS,
224,COSECHADOR,
225,EQUIPO PARA CONSERVACIÓN DE FORRAJE,
226,CONTRUCCION DE BORDO,
227,PACAS FORRAJERAS Y/O SUPLEMENTOS PECUARIOS,
228,CONSTRUCCIÓN DE OLLA DE AGUA CON GEOMEMBRANA,
229,DESVARADORA (IMPLEMENTOS FORRAJEROS),
230,COSECHADORA,
231,SISTEMA DE COSECHA DE AGUA DE LLUVIA (ÁREA CAPTACIÓN Y DEPÓSITO DE AGUA),
232,TERMO CRIOGÉNICO,
233,REHABILITACIÓN DE MACROTÚNELES,
234,GEOMEMBRANA DE 30X15X4  POR 7 DE PROFUNDIDAD,
235,"CISTERNA 10,000 LTS",
236,SISTEMA DE BOMBEO SOLAR P/ RIEGO,
237,CONSTRUCCIÓN DE OLLA  PARA ALMACENAMIENTO DE AGUA (INCLUYE GEOMEMBRANA),
238,MOTOCULTOR CON IMPLEMENTOS,
239,CONSTRUCCIÓN DE MICROTÚNELES,
240,APOYO PARA PESCA O ACUACULTURA,
241,MOTOCULTOR,
242,DESBROZADORA Y MOLINO DE NIXTAMAL,
243,MEZCLADORA,
244,EQUIPAMIENTO DE POZO,
245,MALLAS DE PROTECCIÓN,
246,SEMILLA GRANOS BÁSICOS,
247,REHABILITACION DE SISTEMA DE RIEGO,
248,REHABILITACIÓN DE PRESA,
249,GEOMEMBRANA PARA BORDO DE 30 METROS CUADRADOS POR 5 METROS DE ALTURA,
250,SEMILLA HORTALIZAS,
251,CONSTRUCCIÓN DE BORDO PARCELARIO,
252,ASESORÍA TÉCNICA,
253,SEMBRADORA FERTLIZADORA,
254,REHABILITACIÓN Y DESAZOLVE DE BORDO,
255,GEOMEMBRANA E INSTALACIÓN,
256,SISTEMA DE COSECHA DE AGUA DE LLUVIA,
257,APOYO POR AFECTACIONES POR PRECIPITACIONES ATÍPICAS,
258,SISTEMA COSECHA AGUA DE LLUVIA (ÁREA CAPTACIÓN),
259,ALIMENTO CONCENTRADO,
260,SEMILLA DE GARBANZO,
261,TINACOS PARA USO AGROPECUARIO,
262,GARBANZO,
263,BEBEDEROS,
264,SEMILLA DE PASTO,
265,AGUA PARA USO PECUARIO,
266,"TINACO DE HASTA 10,000 LTS",
267,ALIMENTO ACUÍCOLA,
268,ALAMBRE DE PÚAS,
269,ALEVINES,
270,TINACO DE AL MENOS 5000 LTS P/HUERTO,
271,SEMENTALES BOVINO CON REGISTRO,
272,CERCO ELÉCTRICO,
273,SEMENTAL BOVINO,
274,SEMOVIENTES,
275,TINACO 5000 LTS,
276,"CISTERNA DE 5000 LTS ,MOLINO DE NIXTMAL, ASPERSORA MANUAL",
277,SISTEMA DE RIEGO POR GOTEO,
278,REMOLQUE PIPA,
279,TINACO 10000 LTS,
280,"DESBROZADORA ,FUMIGADORA PULVERIZADORA",
281,CARRO MEZCLADOR,
282,PANELES SOLARES,
283,LÍNEA DE CONDUCCIÓN DE AGUA,
284,VIENTRES BOVINO,
285,SISTEMA COSECHA AGUA DE LLUVIA (DEPÓSITO DE AGUA),
286,APOYO PARA CERCO DE ALAMBRE DE PÚAS,
287,"TINACO 5000 LTS, MOLINO DE NIXTAMAL, DESBROZADORA",
288,COLMENA COMPLETA,
289,SRT: REHAB. DE SISTEMA DE RIEGO POR GOTEO,
290,RED PARA COSECHA (ACUÍCOLA),
291,PROYECTOS ESTRATEGICOS PECUARIOS,
292,CERCO PARA PROTECCIÓN DE BORDO,
293,PROYECTO ESTRATÉGICO,
294,VIENTRES BOVINO CÁRNICO O DOBLE PROPÓSITO GESTANTE CON REGISTRO,
295,COMEDERO,
296,EQUIPO PARA PROD. Y TRANSFORMACIÓN DE MIEL,
297,ASPERSORA (ENGANCHE A TRACTOR),
298,HORNO MOVIL,
299,PROYECTO ESTRATÉGICO (TECHUMBRE PARA CENTRO DE ACOPIO),
300,PROYECTO ESTRATÉGICO (MAQUINA TORTILLADORA),
301,CERCO DE PROTECCIÓN DE PARCELAS,
302,SUSTITUCIÓN DE EMBARCACIÓN FIBRA DE VIDRIO P/PESCA COMERCIAL,
303,PROYECTO ESTRATÉGICO (ESTRACTOR INDUSTRIAL),
304,REMOLQUE DE USO PRODUCTIVO,
305,MATERIAL VEGETATIVO (MAGUEY),
