anio,municipio_proyecto,componente,solicitudes,apoyos,estatal_dictaminado,total_dictaminado
2026,AMEALCO DE BONFIL,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,25,45,3252886.00,4777618.55
2026,AMEALCO DE BONFIL,DINAMISMO AGROALIMENTARIO,670,722,14564041.00,37427997.90
2026,AMEALCO DE BONFIL,TECNIFICACIÓN DEL RIEGO,2,2,350000.00,3070726.40
2026,ARROYO SECO,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,6,6,1128624.00,1630929.00
2026,ARROYO SECO,DINAMISMO AGROALIMENTARIO,70,71,2133500.00,5104950.00
2026,ARROYO SECO,TECNIFICACIÓN DEL RIEGO,4,4,449693.00,856732.01
2026,CADEREYTA DE MONTES,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,5,5,350000.00,500000.00
2026,CADEREYTA DE MONTES,DINAMISMO AGROALIMENTARIO,110,110,3554550.00,8000172.14
2026,CADEREYTA DE MONTES,TECNIFICACIÓN DEL RIEGO,1,1,220806.00,315438.00
2026,COLÓN,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,4,4,0.00,0.00
2026,COLÓN,DINAMISMO AGROALIMENTARIO,55,56,2326489.00,5616375.85
2026,COLÓN,TECNIFICACIÓN DEL RIEGO,5,6,652205.00,1122473.00
2026,CORREGIDORA,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,1,1,,
2026,CORREGIDORA,DINAMISMO AGROALIMENTARIO,63,64,2285359.00,5189540.52
2026,EL MARQUÉS,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,2,2,,
2026,EL MARQUÉS,DINAMISMO AGROALIMENTARIO,75,78,3166374.00,8343260.35
2026,EL MARQUÉS,TECNIFICACIÓN DEL RIEGO,4,4,176275.00,293793.00
2026,EZEQUIEL MONTES,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,3,3,,
2026,EZEQUIEL MONTES,DINAMISMO AGROALIMENTARIO,36,36,1460077.00,4528138.67
2026,EZEQUIEL MONTES,TECNIFICACIÓN DEL RIEGO,13,14,1720062.00,2621475.00
2026,HUIMILPAN,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,4,5,220000.00,353500.00
2026,HUIMILPAN,DINAMISMO AGROALIMENTARIO,86,91,3379968.00,8557177.35
2026,JALPAN DE SERRA,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,1,1,2333333.00,3333333.00
2026,JALPAN DE SERRA,DINAMISMO AGROALIMENTARIO,84,86,2462400.00,5322021.82
2026,LANDA DE MATAMOROS,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,11,11,1808087.00,3015215.00
2026,LANDA DE MATAMOROS,DINAMISMO AGROALIMENTARIO,68,68,1623371.00,3340035.00
2026,PEDRO ESCOBEDO,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,3,3,510000.00,720000.00
2026,PEDRO ESCOBEDO,DINAMISMO AGROALIMENTARIO,194,196,5750194.70,17783790.36
2026,PEDRO ESCOBEDO,TECNIFICACIÓN DEL RIEGO,12,12,302359.00,604720.84
2026,PEÑAMILLER,DINAMISMO AGROALIMENTARIO,9,9,36160.00,68800.00
2026,PINAL DE AMOLES,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,1,1,,
2026,PINAL DE AMOLES,DINAMISMO AGROALIMENTARIO,72,72,1595395.00,3222640.08
2026,QUERÉTARO,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,4,4,632943.00,904205.00
2026,QUERÉTARO,DINAMISMO AGROALIMENTARIO,46,46,1352339.00,3670570.00
2026,QUERÉTARO,TECNIFICACIÓN DEL RIEGO,1,1,,
2026,SAN JOAQUÍN,DINAMISMO AGROALIMENTARIO,4,4,137250.00,307300.00
2026,SAN JUAN DEL RÍO,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,9,16,2103982.00,2995634.66
2026,SAN JUAN DEL RÍO,DINAMISMO AGROALIMENTARIO,271,272,7278911.00,18992022.04
2026,SAN JUAN DEL RÍO,TECNIFICACIÓN DEL RIEGO,16,16,1829412.00,9447017.40
2026,TEQUISQUIAPAN,DINAMISMO AGROALIMENTARIO,91,93,3806834.00,11439932.73
2026,TEQUISQUIAPAN,TECNIFICACIÓN DEL RIEGO,11,11,722900.00,1072304.43
2026,TOLIMÁN,CAPTACIÓN Y ALMACENAMIENTO DE AGUA,1,1,,
2026,TOLIMÁN,DINAMISMO AGROALIMENTARIO,70,70,2455950.00,5184697.61
2026,TOLIMÁN,TECNIFICACIÓN DEL RIEGO,1,1,,
2026,,DINAMISMO AGROALIMENTARIO,1,1,,
